Message_Id,Movement_Type,Acid,AC_Type,IFR_VFR,Departure Airport,Departure Runway,Departure Date UTC,Arrival Airport,Arrival Runway,Arrival Date UTC,Civil Registration,Comments,Service Type,Site Code,Class
66815890,D,DAL1459,B712,I ,CYYZ,23,09/05/2017 14:35,KATL,0,09/05/2017 14:35,N967AT,,ATC,CYYZ,I
66815843,D,ACA109,A321,I ,CYYZ,23,09/05/2017 14:34,CYVR,0,09/05/2017 14:34,CGJWI,NRP TCAS,ATC,CYYZ,I
66815873,D,ASH6198,CRJ7,I ,CYYZ,23,09/05/2017 14:33,KIAD,0,09/05/2017 14:33,N522LR,,ATC,CYYZ,I
66815860,D,WJA305,B737,I ,CYYZ,23,09/05/2017 14:31,CYWG,0,09/05/2017 14:31,CGVWJ,ADSB,ATC,CYYZ,I
66815854,D,WEN3480,DH8D,I ,CYYZ,23,09/05/2017 14:31,CYUL,0,09/05/2017 14:31,CFNEN,,ATC,CYYZ,I
66815748,D,WJA1100,B738,I ,CYYZ,23,09/05/2017 14:30,KLAX,0,09/05/2017 14:30,CFYPB,ADSB,ATC,CYYZ,I
66815764,A,N680DC,C680,I ,KSTC,A,09/05/2017 14:29,CYYZ,24L,09/05/2017 14:29,N680DC,D4 ADSB FLTPLAN 2032628900,ATC,CYYZ,I
66815738,D,ROU1851,B763,I ,CYYZ,23,09/05/2017 14:28,KLAS,0,09/05/2017 14:28,CFIYA,ADSB NRP TCAS 7.1 OPERATED ON BEHALF OF ACA,ATC,CYYZ,I
66815745,D,ACA406,A320,I ,CYYZ,23,09/05/2017 14:27,CYUL,0,09/05/2017 14:27,CFPWE,TCAS,ATC,CYYZ,I
66815736,D,ACA446,E190,I ,CYYZ,23,09/05/2017 14:26,CYOW,0,09/05/2017 14:26,CFHNW,TCAS,ATC,CYYZ,I
66815638,D,WJA707,B736,I ,CYYZ,23,09/05/2017 14:25,CYVR,0,09/05/2017 14:25,CGBWS,,ATC,CYYZ,I
66815618,D,SKV7650,E170,I ,CYYZ,23,09/05/2017 14:24,KEWR,0,09/05/2017 14:24,CFEKI,TCAS SKV CALLSIGN MAPLE,ATC,CYYZ,I
66815642,D,WJA321,B736,I ,CYYZ,23,09/05/2017 14:22,CYXE,0,09/05/2017 14:22,CGXWJ,,ATC,CYYZ,I
66815616,D,ACA1123,E190,I ,CYYZ,23,09/05/2017 14:22,CYXE,0,09/05/2017 14:22,CFHJU,TCAS,ATC,CYYZ,I
66815633,D,JZA912,DH8D,I ,CYYZ,23,09/05/2017 14:21,CYQB,0,09/05/2017 14:21,CGJZH,,ATC,CYYZ,I
66815551,A,ACA405,A320,I ,CYUL,A,09/05/2017 14:20,CYYZ,24R,09/05/2017 14:20,CFZUB,TCAS,ATC,CYYZ,I
66815532,D,ACA261,A319,I ,CYYZ,23,09/05/2017 14:20,CYWG,0,09/05/2017 14:20,CGITP,ADSB TCAS 7.1,ATC,CYYZ,I
66815527,D,ACA165,A321,I ,CYYZ,23,09/05/2017 14:19,CYEG,0,09/05/2017 14:19,CGJWD,NRP TCAS,ATC,CYYZ,I
66815518,D,TSC282,A332,I ,CYYZ,23,09/05/2017 14:17,EGKK,0,09/05/2017 14:17,CGJDA,ADSB TCAS AGCS EQUIPPED CALL SIGN AIR TRANSAT RVR/175,ATC,CYYZ,I
66815533,D,CGRPF,CL60,I ,CYYZ,23,09/05/2017 14:16,KALB,0,09/05/2017 14:16,CGRPF,,ATC,CYYZ,I
66815462,A,WJA506,B737,I ,CYXE,A,09/05/2017 14:15,CYYZ,24R,09/05/2017 14:15,CFZWS,,ATC,CYYZ,I
66815451,D,ACA785,A321,I ,CYYZ,23,09/05/2017 14:15,KLAX,0,09/05/2017 14:15,CGJVX,NRP TCAS,ATC,CYYZ,I
66815455,D,WJA521,B737,I ,CYYZ,23,09/05/2017 14:14,CYWG,0,09/05/2017 14:14,CGWSO,ADSB,ATC,CYYZ,I
66815472,D,GJS6220,CRJ9,I ,CYYZ,23,09/05/2017 14:13,KDTW,0,09/05/2017 14:13,N186GJ,TCAS,ATC,CYYZ,I
66815488,A,ACA705,A320,I ,KLGA,A,09/05/2017 14:13,CYYZ,24R,09/05/2017 14:13,CGKOE,TCAS,ATC,CYYZ,I
66815450,D,ACA7165,A320,I ,CYYZ,23,09/05/2017 14:12,KMCI,0,09/05/2017 14:12,CFTJR,TCAS,ATC,CYYZ,I
66815440,A,ELY029,B763,I ,LLBG,A,09/05/2017 14:11,CYYZ,24R,09/05/2017 14:11,4XEAK,ACAS II EQUIPPED TCAS RVR 200,ATC,CYYZ,I
66815361,D,ACA015,B77L,I ,CYYZ,23,09/05/2017 14:10,VHHH,0,09/05/2017 14:10,CFIUA,ADSB TCAS 7.1,ATC,CYYZ,I
66815357,D,UAL722,B739,I ,CYYZ,23,09/05/2017 14:09,KORD,0,09/05/2017 14:09,N37413,ADSB NRP,ATC,CYYZ,I
66815342,A,N1640,G280,I ,KFTY,A,09/05/2017 14:09,CYYZ,24R,09/05/2017 14:09,N1640,ADSB,ATC,CYYZ,I
66815375,D,WEN3650,DH8D,I ,CYYZ,23,09/05/2017 14:08,KBNA,0,09/05/2017 14:08,CFJWE,,ATC,CYYZ,I
66815345,A,N3FE,CL60,I ,KMEM,A,09/05/2017 14:08,CYYZ,23,09/05/2017 14:08,N3FE,,ATC,CYYZ,I
66815344,A,HRT393,C560,I ,KTEB,A,09/05/2017 14:07,CYYZ,24R,09/05/2017 14:07,CFCBQ,CALLSIGN CHARTRIGHT,ATC,CYYZ,I
66815405,D,CGAGE,C441,I ,CYYZ,23,09/05/2017 14:05,CCS3,0,09/05/2017 14:05,CGAGE,ADSB,ATC,CYYZ,I
66815282,D,ASQ4228,E145,I ,CYYZ,23,09/05/2017 14:04,KEWR,0,09/05/2017 14:04,N11547,,ATC,CYYZ,I
66815246,D,CMP471,B738,I ,CYYZ,23,09/05/2017 14:03,MPTO,0,09/05/2017 14:03,HP1851,TCAS,ATC,CYYZ,I
66815241,A,GGN7240,B190,I ,CYZR,A,09/05/2017 14:03,CYYZ,24R,09/05/2017 14:03,,,ATC,CYYZ,I
66815262,D,WJA2700,B738,I ,CYYZ,23,09/05/2017 14:02,MKJS,0,09/05/2017 14:02,CGWSV,CUBA OVF 1692,ATC,CYYZ,I
66815293,A,RPA4503,E75S,I ,KPHL,A,09/05/2017 14:02,CYYZ,24R,09/05/2017 14:02,N135HQ,,ATC,CYYZ,I
66815274,D,JZA10,DH8A,I ,CYYZ,23,09/05/2017 14:01,CYGK,0,09/05/2017 14:01,CFGRM,,ATC,CYYZ,I
66815268,D,WEN3456,DH8D,I ,CYYZ,23,09/05/2017 14:01,CYQM,0,09/05/2017 14:01,CGJEN,,ATC,CYYZ,I
66815180,A,JZA770,DH8A,I ,CYXU,A,09/05/2017 14:00,CYYZ,24R,09/05/2017 14:00,CFJMG,,ATC,CYYZ,I
66815200,A,SKV7662,E170,I ,KDFW,A,09/05/2017 13:59,CYYZ,24R,09/05/2017 13:59,CFEJF,NRP TCAS SKV CALLSIGN MAPLE,ATC,CYYZ,I
66815175,D,ACA137,B788,I ,CYYZ,23,09/05/2017 13:59,CYYC,0,09/05/2017 13:59,CGHPX,ADSB TCAS 7.1,ATC,CYYZ,I
